оз.Шелохово	оз. Шелохово
оз. Шо	оз. Шо
оз. Щербаковское	оз. Щербаковское
оз. Щибот	оз. Щибот
оз.Яновичское	оз. Яновичское
"озеро ""Святое"""	"оз. ""Святое"""
"озеро ""Шаманка"""	"оз. ""Шаманка"""
озеро Азаренское	оз. Азаренское
озеро Азароново	оз. Азароново
озеро Азерцы	оз. Азерцы
озеро Аксеново	оз. Аксеново
озеро Алашское	оз. Алашское
озеро Алоизберг	оз. Алоизберг
озеро Белое	оз. Белое
озеро Богушеввича	оз. Богушеввича
озеро Вир	оз. Вир
озеро Гута	оз. Гута
озеро Езерище	оз. Езерище
озеро Заболотье	оз. Заболотье
озеро Крапивное	оз. Крапивное
озеро Красное	оз. Красное
озеро Кут	оз. Кут
озеро Лань	оз. Лань
озеро Лисно	оз. Лисно
озеро Молодежное	оз. Молодежное
озеро Молокозаводское	оз. Молокозаводское
озеро Мох	оз. Мох
Озеро на Репина	Озеро на Репина
озеро Обабье	оз. Обабье
озеро Обида	оз. Обида
озеро Оболе	оз. Оболе
озеро Образцы	оз. Образцы
озеро Обстерно	оз. Обстерно
озеро Обуховское	оз. Обуховское
озеро Ожехово	оз. Ожехово
озеро Озерайце	оз. Озерайце
озеро Озерки	оз. Озерки
озеро Озерко	оз. Озерко
озеро Окнистое	оз. Окнистое
озеро Окно	оз. Окно
озеро Окуневец	оз. Окуневец
озеро Окунево	оз. Окунево
озеро Окуневчик	оз. Окуневчик
озеро Окунец	оз. Окунец
озеро Окунино	оз. Окунино
озеро Окунь	оз. Окунь
озеро Ордово	оз. Ордово
озеро Отводы	оз. Отводы
Озеро Патрика	оз. Патрика
озеро Рудники	оз. Рудники
озеро Святое	оз. Святое
озеро Семиховичи	оз. Семиховичи
озеро Сенница	оз. Сенница
озеро Стаи	оз. Стаи
озеро Тайное	оз. Тайное
озеро Худовец	оз. Худовец
озеро Черное	оз. Черное
озеро Чистая Лужа	оз. Чистая Лужа
озеро Юбилейное	оз. Юбилейное
Озерянское озеро	Озерянское озеро
Опита	оз. Опита
Освейское озеро	Освейское озеро
Печерское озеро	Печерское озеро
Погост	Погост
Пожарный водоём	Пожарный водоём
Полоневичи	Полоневичи
Поставское озеро	Поставское озеро
Пружанское озеро	Пружанское озеро
Рыбница	Рыбница
Савек	оз. Савек
Святое	оз. Святое
Святцо	оз. Святцо
Селява	оз. Селява
Синяя лужа	Синяя лужа
Сипурка	Сипурка
Скорень	Скорень
Слободское	Слободское
Старое	Старое
старое возера	старое возера
Стоячее	Стоячее
Сырское озеро	Сырское озеро
Тростяница	Тростяница
Тростяное	оз. Тростяное
Холодчие	оз. Холодчие
Холостятское	Холостятское
Чарне	Чарне
Червоное озеро	Червоное озеро
Чёрное	оз. Чёрное
Чёртово озеро	Чёртово озеро
Яглевичичское озеро	Яглевичичское озеро
