даведнік:назва вобласці	даведнік:назва раёну	osm:relationID	osm:назва вобласці	osm:назва раёну	osm:назва вобласці ru	osm:назва раёну ru
Магілёўская	Чэрыкаўскі	70595	Магілёўская вобласць	Чэрыкаўскі раён	Могилёвская область	Чериковский район
Магілёўская	Шклоўскі	70626	Магілёўская вобласць	Шклоўскі раён	Могилёвская область	Шкловский район
Мінская		59752	Мінская вобласць		Минская область	
Мінская	Барысаўскі	70569	Мінская вобласць	Барысаўскі раён	Минская область	Борисовский район
Мінская	Бярэзінскі	70575	Мінская вобласць	Бярэзінскі раён	Минская область	Березинский район
Мінская	Валожынскі	70565	Мінская вобласць	Валожынскі раён	Минская область	Воложинский район
Мінская	Вілейскі	70568	Мінская вобласць	Вілейскі раён	Минская область	Вилейский район
Мінская	Дзяржынскі	70563	Мінская вобласць	Дзяржынскі раён	Минская область	Дзержинский район
Мінская	Капыльскі	71132	Мінская вобласць	Копыльскі раён*	Минская область	Копыльский район
Мінская	Клецкі	71130	Мінская вобласць	Клецкі раён	Минская область	Клецкий район
Мінская	Крупскі	70639	Мінская вобласць	Крупскі раён	Минская область	Крупский район
Мінская	Лагойскі	70542	Мінская вобласць	Лагойскі раён	Минская область	Логойский район
Мінская	Любанскі	71140	Мінская вобласць	Любанскі раён	Минская область	Любаньский район
Мінская	Маладзечанскі	70566	Мінская вобласць	Маладзечанскі раён	Минская область	Молодечненский район
Мінская	Мінскі	59190	Мінская вобласць	Мінскі раён	Минская область	Минский район
Мінская	Мядзельскі	70719	Мінская вобласць	Мядзельскі раён	Минская область	Мядельский район
Мінская	Нясвіжскі	71128	Мінская вобласць	Нясвіжскі раён	Минская область	Несвижский район
Мінская	Пухавіцкі	70549	Мінская вобласць	Пухавіцкі раён	Минская область	Пуховичский район
Мінская	Салігорскі	71133	Мінская вобласць	Салігорскі раён	Минская область	Солигорский район
Мінская	Слуцкі	71134	Мінская вобласць	Слуцкі раён	Минская область	Слуцкий район
Мінская	Смалявіцкі	69554	Мінская вобласць	Смалявічскі раён*	Минская область	Смолевичский район
Мінская	Старадарожскі	71135	Мінская вобласць	Старадарожскі раён	Минская область	Стародорожский район
Мінская	Стаўбцоўскі	70752	Мінская вобласць	Стаўбцоўскі раён	Минская область	Столбцовский район
Мінская	Уздзенскі	70561	Мінская вобласць	Уздзенскі раён	Минская область	Узденский район
Мінская	Чэрвеньскі	59751	Мінская вобласць	Чэрвеньскі раён	Минская область	Червеньский район
