RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;;B>A;A;Новинки - ДС Восточная;1234567;145780;;15957,15000,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
19;;;;;16495,;;;A>B;A;ДС Карастояновой - Слепянка;67;153465;;15750,15714,15713,58346,15721,14456,15731,15733,15734,15742,15823,15316,15818,15473,15435,15436,15437,15438,15439,15440;;d1-d5 - 01.04.2015<br>d6-d7 - 01.03.2015
;;;;;16526,;;;A>B;A;ДС Карастояновой  - Слепянка;12345;156579;;15750,15714,15713,58346,15721,14456,15731,15733,15734,15742,15823,15316,15818,15473,15435,15436,15437,15438,15439,15440;;
;;;;;16495,;;;B>A;A;Слепянка - ДС Карастояновой;1234567;153466;;15440,14774,15441,15470,15471,15472,15817,15819,15820,15822,15824,14470,15735,15732,14441,15722,15717,15716,15715,15750;;
;;;;;16526,;;0;B>D;A;Слепянка - D;12345;156582;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;16495,;;0.27;B4>D;A;Уральская - АП4;67;153468;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;16526,;;0;D>B;A;D - Слепянка;12345;156581;;15473,15435,15436,15437,15438,15439,15440;;
;;;;;16495,;;0.26;D>B4;A;АП4 - Уральская;67;153467;;15473,15435,15436,15437,15438,15439,15440;;
20с;;;;6 АП;16526,;;;A>B;A;ДС Ангарская-4 - ст. м. Академия наук;1234567;156586;;68909,15330,15331,15320,15321,15322,15971,15963,15972,15413,15414,15406,15417,14739,14754,15514,15952;;d1-d5 - 01.04.2015<br>d6-d7 - 04.04.2015
;;;;;;;;B>A;A;ст. м. Академия наук - ДС Ангарская-4;1234567;156587;;15952,14767,14769,14770,14775,15404,15405,15409,15969,15970,15323,15324,15325,15304,15833,68909;;
21;;;;;;;;A>B;A;ДС Шабаны - ДС Чижовка;12345;157179;;14746,14748,14749,14824,14825,14828,16041,15343,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,15535,68866;;d1-d4 - 01.04.2015<br>d5 - 03.04.2015
;;;;;;;;B>A;A;ДС Чижовка - ДС Шабаны;12345;157180;;68866,133126,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15297,15620,16040,14745,14746;;
22;;;;;16389,;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;142315;;68909,15306,15307,58355,15336,15337,15969,15964,15965,15344,15345,15704,15705,15707,15530,15510,15528,15533,193269,68866;;d1-d5 - 01.04.2015<br>d6-d7 - 15.11.2014
