ID	City	Area	Street	Name	Info	Lng	Lat	Stops	StopNum	Pikas2012.11.19	osm:NodeID	osm:name:ru
14407	0	0	ул. Академика Купревича	Академгородок		27.68945	53.92754	14408,14629,14386	s14407		747751971	Академгородок
14408	0	0		Академгородок		27.68882	53.92733	14407,14409	s14408			Академгородок
205011	0	0	0	Академика Карского		27.44768	53.8768	211246,15158	s205011		2733280820	Академика Карского
15144	0	0	0	Академика Федорова		27.42428	53.88147	58348,58347	s15144		280027940	Академика Фёдорова
58348	0	0	0	Академика Федорова		27.42484	53.88111	15144,73320	s58348		280027998	Академика Фёдорова
73320	0	0	0	Академика Федорова		27.42427	53.88033	58348,73321,71977	s73320		767184471	Академика Фёдорова
73321	0	0	0	Академика Федорова		27.42606	53.8803	73320,15156	s73321		767183784	Академика Фёдорова
14755	0	0	0	Академическая		27.60393	53.91687	15514,15952	s14755		423628825	Академическая
14769	0	0	ул. Академическая	Академическая		27.6043	53.91408	15483,15514,14754	s14769		279653182	Академическая
15514	0	0	0	Академическая		27.60315	53.91534	14769,14755	s15514		767085224	Академическая
73200	0	0	0	Академия Наук		27.59862	53.92175	14768,15952	s73200			Академия Наук
15075	0	0	0	Аквапарк		27.44805	53.95004	15076,15082	s15075		767088358	Аквапарк
15076	0	0	0	Аквапарк		27.44911	53.94945	15075,15046,58376	s15076		708490146	Аквапарк
72951	0	0	0	Аладовых		27.45552	53.91758	72952,58331,188138	s72951		767088415	Аладовых
72952	0	0	0	Аладовых		27.45676	53.91683	72951,15519	s72952		767088543	Аладовых
15637	0	0	0	Алибегова		27.48044	53.87176	15650,15649	s15637		320719553	Алибегова
15650	0	0	ул. Алибегова	Алибегова		27.48241	53.87154	15637,133408	s15650		320719557	Алибегова
15968	0	0	0	Алтайская		27.67029	53.8724	15972,15967	s15968		767085093	Алтайская
15972	0	0	0	Алтайская		27.67199	53.87308	15968,15337,15963	s15972		767081496	Алтайская
15410	0	0	ул. Нестерова	Алтайская-1		27.66873	53.8779	15413,15336	s15410		767088210	Алтайская-1
15413	0	0	ул. Алтайская	Алтайская-1		27.66717	53.87788	133363,15410	s15413		767085204	Алтайская-1
133363	0	0		Алтайская-1~(по выходным дням)		27.66714	53.8779	15413,133038	s133363			Алтайская-1
15409	0	0		Алтайская-2		27.66274	53.8809	133038,15414	s15409		767085163	Алтайская-2
15414	0	0		Алтайская-2		27.66226	53.88148	133037,15409	s15414		767085197	Алтайская-2
133038	0	0		Алтайская-2 с~(16.00 до 20.00)		27.6628	53.88083	15409,133363	s133038			Алтайская-2
133037	0	0		Алтайская-2 с~(6.00 до 10.00)		27.66217	53.88154	15414,15408	s133037			Алтайская-2
133412	0	0	0	Ангарская		27.67465	53.86248	15298,73206,15343	s133412		2789204414	Ангарская
15303	0	0		Ангарская-3		27.68013	53.88218	133036,15302	s15303		342079628	Ангарская-3
15332	0	0		Ангарская-3		27.67995	53.8825	133035,133036,15780	s15332		342079643	Ангарская-3
133036	0	0		Ангарская-3 с~(16.00 до 20.00)		27.68023	53.88223	15303,15332	s133036			Ангарская-3
133035	0	0		Ангарская-3 с~(6.00 до 10.00)		27.68005	53.88254	15332,15326	s133035			Ангарская-3
68849	0	0	0	Ангарская-4~(высадка пассажиров)		27.68948	53.88756	68909,15330,15305	s68849		767085081	Ангарская-4
15607	0	0	ул. Захарова	Андреевская		27.58931	53.89487	15631,15630	s15607		767085131	Андреевская
15631	0	0		Андреевская		27.58931	53.89556	15607,15606	s15631		767074783	Андреевская
15438	0	0	ул. Аннаева	Аннаева		27.62814	53.90396	15441,14773	s15438		767183555	Аннаева
15441	0	0		Аннаева		27.62678	53.90375	15438,15437	s15441		767184126	Аннаева
132096	0	0	0	Анополь		27.54779	53.68319	197141,197156	s132096			Анополь
197141	0	0	0	Анополь		27.54788	53.68327	132096,197155	s197141			Анополь
197155	0	0	0	Анополь		27.54768	53.68339	197141,197142	s197155			Анополь
16059	0	0	0	АНТК Сосны		27.78847	53.83315	16058	s16059			АНТК Сосны
