from	to
Клецкая ул.	Клецкая ул.
клуб	клуб
Клумова	Клумова
Кнорина	Кнорина
Козыревская	Козыревская
Коласа	Коласа
Коласа Я. ул.	Коласа Я. ул.
Колесникова ул.	Колесникова ул.
колледж искусств	колледж искусств
Колледж промышленности стройматериалов	Колледж промышленности стройматериалов
колледж связи	колледж связи
Колледж электроники	Колледж электроники
Кольцевая дорога	Кольцевая дорога
Кольцова	Кольцова
Колядичи Р/к	Колядичи Р/к
Командно-Инженерный институт	Командно-Инженерный институт
Комаровский рынок	Комаровский рынок
Коммунистическая	Коммунистическая
Коммунистическая улица	Коммунистическая улица
Комсомольское озеро	Комсомольское озеро
Корженевского	Корженевского
Корженевского (Высадка Пас.)	Корженевского (Высадка Пас.)
Корзюки ул.	Корзюки ул.
Короленко	Короленко
Космонавтов	Космонавтов
Космонавтов, 17	Космонавтов, 17
Космоновтов, 17	Космоновтов, 17
Котельная	Котельная
Котовского	Котовского
Коттеджи	Коттеджи
Кошевого	Кошевого
КП Кошевого	КП Кошевого
КПП	КПП
Красная улица	Красная улица
Красный Бор	Красный Бор
Кропоткина	Кропоткина
Круглая пл.	Круглая пл.
Круглая площадь	Круглая площадь
Куйбышева	Куйбышева
Кулешова	Кулешова
Кульман	Кульман
Кунцевщина д/с	Кунцевщина д/с
Кунцевщина микрорайон	Кунцевщина микрорайон
Кунцевщина ст.м.	Кунцевщина ст.м.
Курасовщина	Курасовщина
Куропаты	Куропаты
Курчатова	Курчатова
Лабунщина	Лабунщина
Ландера	Ландера
Лебяжий	Лебяжий
Левкова	Левкова
Левкова ул.	Левкова ул.
Ленинградская	Ленинградская
Леси Украинки	Леси Украинки
Лесная	Лесная
Либкнехта К. ул.	Либкнехта К. ул.
Лидская	Лидская
лицей №8	лицей №8
Лобанка, 99	Лобанка, 99
Логойский тракт	Логойский тракт
Лошица	Лошица
Лошица-2 д/с	Лошица-2 д/с
Лукъяновича ул.	Лукъяновича ул.
Лукьяновича	Лукьяновича
Любимова	Любимова
Люксембург р. ул.	Люксембург р. ул.
Люцинская	Люцинская
М. Танка	М. Танка
М. Тростенец	М. Тростенец
Мавра Я. ул.	Мавра Я. ул.
магазин	магазин
Магазин	Магазин
магазин "Лазурит"	магазин "Лазурит"
магазин "Хоз. товары"	магазин "Хоз. товары"
магазин "Электроника"; магазин Электроника	магазин "Электроника"; магазин Электроника
магазин Мебели	магазин Мебели
магазин Ригонда	магазин Ригонда
Магнитная	Магнитная
Мазурова	Мазурова
Мазурова, 2	Мазурова, 2
Максима Горецкого	Максима Горецкого
Малинина	Малинина
Малиновка-1	Малиновка-1
Малиновка-4 д/с (Высадка пасс.)	Малиновка-4 д/с (Высадка пасс.)
Малиновка-6	Малиновка-6
Малиновка-7	Малиновка-7
Малиновка-8 микрорайон	Малиновка-8 микрорайон
Малиновка-9	Малиновка-9
Маневича	Маневича
Масюковщина	Масюковщина
Масюковщина (Автостоянка)	Масюковщина (Автостоянка)
Масюковщина д/с	Масюковщина д/с
Матусевича, 27	Матусевича, 27
Матусевича ул., 27	Матусевича ул., 27
Матусевича ул., 88	Матусевича ул., 88
Матусевича ул. (Высадка пасс.)	Матусевича ул. (Высадка пасс.)
Медвежино	Медвежино
Медвежино-1	Медвежино-1
Медколледж	Медколледж
Медсанчасть	Медсанчасть
Медуниверситет	Медуниверситет
Международный образовательный центр	Международный образовательный центр
Международный Университет	Международный Университет
Менделеева	Менделеева
метро Автозаводская	метро Автозаводская
Механический Завод	Механический Завод
микрорайон	микрорайон
Микрорайон	Микрорайон
микрорайон "Брилевичи"	микрорайон "Брилевичи"
микрорайон "Запад-4"	микрорайон "Запад-4"
микрорайон "Малиновка-3"	микрорайон "Малиновка-3"
микрорайон "Сухарево-5"	микрорайон "Сухарево-5"
микрорайон Брилевичи	микрорайон Брилевичи
микрорайон Каменная Горка	микрорайон Каменная Горка
микрорайон Лошица-1	микрорайон Лошица-1
микрорайон Лошица-2	микрорайон Лошица-2
микрорайон Лошица-9	микрорайон Лошица-9
микрорайон Уручье-3	микрорайон Уручье-3
Минина	Минина
Минск - Арена	Минск - Арена
Минскрыбпром	Минскрыбпром
Минскэнерго	Минскэнерго
Минск-Южный	Минск-Южный
Мирошниченко	Мирошниченко
МКАД	МКАД
Молодежный пос.	Молодежный пос.
Молочный комбинат	Молочный комбинат
Московская	Московская
Московская ст. М.	Московская ст. М.
Московская улица	Московская улица
Московский рынок	Московский рынок
мост	мост
Мотовелозавод	Мотовелозавод
МПЗ	МПЗ
