from	to
Княжное	Княжное
Кобылинское	Кобылинское
Кобыльщица	Кобыльщица
Ковальки	Ковальки
Когальное	Когальное
Козловское	Козловское
Койдинец	Койдинец
Колдычевское	Колдычевское
Колодки	Колодки
Колочье	Колочье
Колпино	Колпино
Комарец	Комарец
Коммунар	Коммунар
Конечное	Конечное
Коноплище	Коноплище
Коноплянка	Коноплянка
Константиново	Константиново
Конторское	Конторское
Конциново	Конциново
Кончицкое	Кончицкое
Копанка	Копанка
Копенец	Копенец
Кораневское	Кораневское
Корасин	Корасин
Корево	Корево
Кормянское озеро	Кормянское озеро
Корня	Корня
Корочин	Корочин
Корцея	Корцея
Космачевское	Космачевское
Костенок	Костенок
Кости -гриба пруд	Кости -гриба пруд
Котлован	Котлован
Кочаново	Кочаново
Кошанка	Кошанка
Крапивка	Крапивка
Красно	Красно
Красновское	Красновское
Красное	Красное
Краснослободское	Краснослободское
Красомай	Красомай
Кривая Речка	Кривая Речка
Кривец	Кривец
Кривое	Кривое
Кривые окуни	Кривые окуни
Криница	Криница
Кромань	Кромань
Кропы	Кропы
Круглое	Круглое
Круговод	Круговод
Крупань	Крупань
Крупенец	Крупенец
Крушиновское	Крушиновское
Крылово	Крылово
Кульшическое	Кульшическое
Кураковское озеро	Кураковское озеро
Курганистое	Курганистое
Куровичи	Куровичи
Лабейко	Лабейко
Лабутевское	Лабутевское
Ладосно	Ладосно
Ласица	Ласица
Ластовичское	Ластовичское
Лахва	Лахва
Лебединец	Лебединец
Лебединое	Лебединое
Лебединое озеро	Лебединое озеро
Лебединый пруд	Лебединый пруд
Лебяжий	Лебяжий
Леваново	Леваново
Левки	Левки
Лесное	Лесное
Лесово	Лесово
Летнее	Летнее
Летчицкое	Летчицкое
Лешно	Лешно
Лещиново	Лещиново
Лизаровское	Лизаровское
Линок	Линок
Лисицкое	Лисицкое
Литвин	Литвин
Литовка	Литовка
Ловать	Ловать
Ловжа	Ловжа
Лодоси	Лодоси
Локно	Локно
Локтыши	Локтыши
Ломыш	Ломыш
Лонно	Лонно
Лоно	Лоно
Лонье	Лонье
Лосево	Лосево
Лососно	Лососно
Лотвины	Лотвины
Лочинское	Лочинское
Лошанское водохранилище	Лошанское водохранилище
Лубянка	Лубянка
Лужок	Лужок
Луково	Луково
Лукомское	Лукомское
Луконец	Луконец
Луконица	Луконица
Лунево	Лунево
Лунично	Лунично
